id,name,age,nationality,country,club,leagueName,position,alternativePositions,preferredFoot,marketValue,OVR,PAC,SHO,PAS,DRI,DEF,PHY,cardType,source
isr_14,Kervin Andrade,,Venezuela,Venezuela,Maccabi Tel Aviv,Ligat Ha'al,CDM,,,,88,64,38,75,59,97,91,active,israeli
isr_15,Kristijan Belić,,Serbia,Serbia,Maccabi Tel Aviv,Ligat Ha'al,CM,,,,78,66,51,78,65,55,52,active,israeli
isr_16,Ben Lederman,,Poland,Poland,Maccabi Tel Aviv,Ligat Ha'al,CM,,,,85,64,57,86,72,61,58,active,israeli
isr_17,Issouf Sissokho,,Mali,Mali,Maccabi Tel Aviv,Ligat Ha'al,CAM,,,,82,61,72,90,92,35,47,active,israeli
isr_18,Itamar Noy,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,LM,,,,75,85,57,64,82,35,47,active,israeli
isr_19,Ido Shahar,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,RM,,,,86,94,71,80,91,35,60,active,israeli
isr_20,Dor Peretz,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,CDM,,,,84,60,44,80,55,91,86,active,israeli
isr_21,Osher Davida,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,CM,,,,76,57,51,77,64,55,52,active,israeli
isr_22,Yonas Malede,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,ST,,,,82,80,99,49,78,35,83,active,israeli
isr_23,Elad Madmon,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,ST,,,,84,84,99,52,73,35,87,active,israeli
isr_24,Hélio Varela,,Cape Verde,Cape Verde,Maccabi Tel Aviv,Ligat Ha'al,LW,,,,85,99,74,63,99,35,55,active,israeli
isr_25,Sayed Abu Farchi,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,RW,,,,83,97,77,67,94,35,50,active,israeli
isr_26,Ilay Ben Simon,,Israel,Israel,Maccabi Tel Aviv,Ligat Ha'al,ST,,,,77,75,93,46,73,35,78,active,israeli
isr_27,Emir Sahiti,,Kosovo,Kosovo,Maccabi Tel Aviv,Ligat Ha'al,ST,,,,87,91,99,48,79,35,85,active,israeli
isr_28,Ion Nicolaescu,,Moldova,Moldova,Maccabi Tel Aviv,Ligat Ha'al,LW,,,,88,99,79,69,99,35,51,active,israeli
isr_29,Shareef Keouf,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,GK,,,,79,45,35,47,42,35,62,active,israeli
isr_30,Roee Fucs,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,GK,,,,86,47,35,59,44,35,66,active,israeli
isr_31,Heorhiy Yermakov,,Ukraine,Ukraine,Maccabi Haifa,Ligat Ha'al,GK,,,,88,49,35,61,46,35,68,active,israeli
isr_32,Glenn Alvin,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,GK,,,,82,45,35,56,42,35,63,active,israeli
isr_33,Zohar Zasno,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CB,,,,83,63,35,45,48,99,97,active,israeli
isr_34,Sean Goldberg,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CB,,,,82,57,35,49,52,94,91,active,israeli
isr_35,Lisav Eissat,,ROU,ROU,Maccabi Haifa,Ligat Ha'al,CB,,,,86,62,35,53,47,99,97,active,israeli
isr_36,Jelle Bataille,,Belgium,Belgium,Maccabi Haifa,Ligat Ha'al,LB,,,,85,78,44,61,56,76,62,active,israeli
isr_37,Pierre Cornud,,France,France,Maccabi Haifa,Ligat Ha'al,RB,,,,81,78,36,52,57,76,62,active,israeli
isr_38,Yinon Feingezicht,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CB,,,,73,53,35,45,39,86,83,active,israeli
isr_39,Abdoulaye Seck,,Senegal,Senegal,Maccabi Haifa,Ligat Ha'al,CB,,,,85,63,35,45,48,99,98,active,israeli
isr_40,Noam Sztejfman,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CB,,,,84,64,35,47,50,99,90,active,israeli
isr_41,Elad Amir,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,LB,,,,82,72,39,56,60,79,57,active,israeli
isr_42,Eylon Baruch,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,RB,,,,72,66,38,52,47,64,53,active,israeli
isr_43,Pedrão,,Brazil,Brazil,Maccabi Haifa,Ligat Ha'al,CB,,,,78,56,35,48,42,92,88,active,israeli
isr_44,Tomi Tsitoashvili,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CB,,,,76,59,35,42,45,93,81,active,israeli
isr_45,Ali Mohamed,,NIG,NIG,Maccabi Haifa,Ligat Ha'al,CDM,,,,81,55,40,74,59,85,80,active,israeli
isr_46,Dolev Haziza,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CM,,,,85,68,61,90,67,56,62,active,israeli
isr_47,Manuel Benson,,Angola,Angola,Maccabi Haifa,Ligat Ha'al,CM,,,,83,67,60,89,66,55,62,active,israeli
isr_48,Lior Kasa,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CAM,,,,79,60,71,88,89,35,46,active,israeli
isr_49,Kenny Saief,,United States,United States,Maccabi Haifa,Ligat Ha'al,LM,,,,90,97,73,82,94,35,62,active,israeli
isr_50,Ethan Azoulay,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,RM,,,,85,94,62,71,91,35,61,active,israeli
isr_51,Michael Ohana,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CDM,,,,72,53,35,62,49,80,76,active,israeli
isr_52,Daniel Darzi,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CM,,,,79,59,53,80,67,57,54,active,israeli
isr_53,Itay Solomon,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CM,,,,84,68,61,90,67,56,62,active,israeli
isr_54,Navot Ratner,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,CAM,,,,78,60,71,88,80,35,47,active,israeli
isr_55,Peter Agba,,Nigeria,Nigeria,Maccabi Haifa,Ligat Ha'al,LM,,,,90,97,73,82,94,35,62,active,israeli
isr_56,Silva Kani,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,ST,,,,82,82,99,51,71,35,85,active,israeli
isr_57,Trivante Stewart,,Jamaica,Jamaica,Maccabi Haifa,Ligat Ha'al,ST,,,,86,88,99,46,76,35,91,active,israeli
isr_58,Kenji Gorré,,CUW,CUW,Maccabi Haifa,Ligat Ha'al,LW,,,,83,99,79,69,96,35,52,active,israeli
isr_59,Suf Podgoreanu,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,RW,,,,84,99,80,70,97,35,52,active,israeli
isr_60,Guy Melamed,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,ST,,,,82,86,96,46,75,35,80,active,israeli
isr_61,Liam Luski,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,ST,,,,80,76,95,45,74,35,79,active,israeli
isr_62,Adam Grimberg,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,LW,,,,77,87,68,59,93,35,43,active,israeli
isr_63,Niv Gabay,,Israel,Israel,Maccabi Haifa,Ligat Ha'al,RW,,,,80,93,74,64,90,35,48,active,israeli
isr_64,Cédric Don,,Côte d'Ivoire,Côte d'Ivoire,Maccabi Haifa,Ligat Ha'al,ST,,,,88,88,99,54,76,35,91,active,israeli
isr_65,Asaf Tzur,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,GK,,,,81,42,35,53,48,35,59,active,israeli
isr_66,Or Gilad,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,GK,,,,85,50,35,52,47,35,68,active,israeli
isr_67,Ben David Cohen,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,GK,,,,85,44,35,55,50,35,62,active,israeli
isr_68,Yosef Tuaf,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,CB,,,,82,56,35,48,51,99,90,active,israeli
isr_69,Matan Baltaxa,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,CB,,,,77,52,35,45,48,96,84,active,israeli
isr_70,Maximiliano Caufriez,,Belgium,Belgium,Hapoel Be'er Sheva,Ligat Ha'al,CB,,,,82,57,35,49,52,94,91,active,israeli
isr_71,Matan Ohayon,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,LB,,,,72,69,35,46,50,67,56,active,israeli
isr_72,Mërgim Vojvoda,,Kosovo,Kosovo,Hapoel Be'er Sheva,Ligat Ha'al,RB,,,,78,70,38,54,59,68,55,active,israeli
isr_74,Lidor Cohen,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,CB,,,,75,58,35,42,45,92,80,active,israeli
isr_75,Tzah Doron,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,CB,,,,72,55,35,39,42,87,85,active,israeli
isr_76,Daniel Afriyie,,Ghana,Ghana,Hapoel Be'er Sheva,Ligat Ha'al,CDM,,,,86,61,45,81,56,94,88,active,israeli
isr_77,Almog Cohen,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,CM,,,,79,64,58,85,63,53,59,active,israeli
isr_79,Claudemir,,Brazil,Brazil,Hapoel Be'er Sheva,Ligat Ha'al,CAM,,,,86,63,75,94,95,35,49,active,israeli
isr_80,Nimrod Oved,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,LM,,,,78,85,65,73,82,35,55,active,israeli
isr_81,Gal Peled,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,RM,,,,76,85,56,64,82,35,56,active,israeli
isr_83,Leeroy Owusu,,Ghana,Ghana,Hapoel Be'er Sheva,Ligat Ha'al,CM,,,,82,66,59,87,64,54,60,active,israeli
isr_84,Maor Buzaglo,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,CM,,,,82,63,56,84,70,60,57,active,israeli
isr_85,Munas Dabbur,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,ST,,,,83,81,99,49,79,35,84,active,israeli
isr_86,Dia Saba,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,ST,,,,79,75,94,45,73,35,78,active,israeli
isr_87,Gustavo Boccoli,,Brazil,Brazil,Hapoel Be'er Sheva,Ligat Ha'al,LW,,,,90,99,80,69,99,35,51,active,israeli
isr_88,Patrick Twumasi,,Ghana,Ghana,Hapoel Be'er Sheva,Ligat Ha'al,RW,,,,85,96,76,65,99,35,48,active,israeli
isr_89,Tomer Hemed,,Israel,Israel,Hapoel Be'er Sheva,Ligat Ha'al,ST,,,,76,79,88,41,68,35,82,active,israeli
isr_90,Dor Binyamini,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,GK,,,,84,49,35,52,46,35,67,active,israeli
isr_91,Assaf Tzur,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,GK,,,,80,46,35,48,43,35,63,active,israeli
isr_92,Gad Amos,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,GK,,,,75,40,35,51,37,35,56,active,israeli
isr_93,Sagi Pinhas,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,GK,,,,77,46,35,48,43,35,54,active,israeli
isr_94,Chico,,Brazil,Brazil,Hapoel Tel Aviv,Ligat Ha'al,CB,,,,79,60,35,43,46,96,92,active,israeli
isr_95,Fernand Mayembo,,CGO,CGO,Hapoel Tel Aviv,Ligat Ha'al,CB,,,,74,53,35,46,40,87,84,active,israeli
isr_96,Doron Leidner,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,CB,,,,70,49,35,43,37,81,78,active,israeli
isr_97,Tal Archel,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,LB,,,,79,75,35,50,54,73,60,active,israeli
isr_98,Shahar Piven,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,RB,,,,74,70,35,46,51,68,56,active,israeli
isr_99,Ofer Gelbard,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,CB,,,,73,51,35,43,46,84,81,active,israeli
isr_100,Yazan Nassar,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,CB,,,,72,49,35,42,45,90,79,active,israeli
isr_101,Marcus Coco,,GLP,GLP,Hapoel Tel Aviv,Ligat Ha'al,CB,,,,76,53,35,45,48,87,84,active,israeli
isr_102,Andrian Kraev,,Bulgaria,Bulgaria,Hapoel Tel Aviv,Ligat Ha'al,CDM,,,,74,50,37,68,54,77,73,active,israeli
isr_103,Xande Silva,,Portugal,Portugal,Hapoel Tel Aviv,Ligat Ha'al,CM,,,,78,58,52,79,66,56,53,active,israeli
isr_104,Stav Turiel,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,CM,,,,78,63,57,84,62,52,58,active,israeli
isr_105,El Yam Kancepolsky,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,CAM,,,,73,61,62,78,80,35,40,active,israeli
isr_106,Roei Alkukin,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,LM,,,,71,77,58,65,74,35,49,active,israeli
isr_107,Amit Lemkin,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,RM,,,,77,84,64,72,81,35,54,active,israeli
isr_108,Falcão,,Brazil,Brazil,Hapoel Tel Aviv,Ligat Ha'al,CDM,,,,83,59,44,79,54,90,85,active,israeli
isr_109,Roy Korine,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,ST,,,,80,80,99,49,69,35,83,active,israeli
isr_110,Emmanuel Boateng,,Ghana,Ghana,Hapoel Tel Aviv,Ligat Ha'al,ST,,,,76,73,91,44,71,35,76,active,israeli
isr_111,Anas Mahamid,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,LW,,,,85,99,80,69,97,35,52,active,israeli
isr_112,Mor Buskila,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,RW,,,,85,98,78,67,99,35,50,active,israeli
isr_113,Daniel Dappa,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,ST,,,,84,83,99,51,72,35,86,active,israeli
isr_114,Omri Altman,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,ST,,,,79,78,97,48,67,35,81,active,israeli
isr_115,Loizos Loizou,,CYP,CYP,Hapoel Tel Aviv,Ligat Ha'al,LW,,,,82,97,77,67,94,35,50,active,israeli
isr_116,Omri Levy,,Israel,Israel,Hapoel Tel Aviv,Ligat Ha'al,RW,,,,77,92,73,64,89,35,48,active,israeli
isr_117,Yehonathan Ozer,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,GK,,,,73,43,35,44,40,35,59,active,israeli
isr_118,Miguel Silva,,Portugal,Portugal,Beitar Jerusalem,Ligat Ha'al,GK,,,,84,47,35,59,44,35,65,active,israeli
isr_119,Nana Antwi,,Ghana,Ghana,Beitar Jerusalem,Ligat Ha'al,CB,,,,72,55,35,39,42,87,85,active,israeli
isr_120,Brayan Carabalí,,Colombia,Colombia,Beitar Jerusalem,Ligat Ha'al,CB,,,,82,55,35,47,50,99,89,active,israeli
isr_121,Gil Cohen,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,CB,,,,77,54,35,47,41,89,86,active,israeli
isr_122,Roey Elimelech,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,LB,,,,77,73,35,48,53,71,58,active,israeli
isr_123,Yarden Cohen,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,RB,,,,77,71,40,55,51,69,56,active,israeli
isr_124,Grigori Morozov,,Russia,Russia,Beitar Jerusalem,Ligat Ha'al,CB,,,,83,59,35,50,44,97,93,active,israeli
isr_125,Uri Dahan,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,CB,,,,79,61,35,44,47,97,84,active,israeli
isr_126,Yuval Shalev,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,CB,,,,69,53,35,37,40,84,81,active,israeli
isr_127,Luka Gadrani,,Georgia,Georgia,Beitar Jerusalem,Ligat Ha'al,LB,,,,82,72,39,56,60,79,57,active,israeli
isr_128,Ziv Ben Shimol,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,CDM,,,,77,56,35,65,51,85,80,active,israeli
isr_129,Adi Yona,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,CM,,,,75,63,48,74,61,52,58,active,israeli
isr_130,Dor Micha,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,CM,,,,81,69,53,81,67,57,54,active,israeli
isr_131,Boris Enow,,Cameroon,Cameroon,Beitar Jerusalem,Ligat Ha'al,CAM,,,,78,63,65,82,83,35,50,active,israeli
isr_132,Aílson Tavares,,Cape Verde,Cape Verde,Beitar Jerusalem,Ligat Ha'al,LM,,,,74,80,61,68,77,35,51,active,israeli
isr_133,Yarden Shua,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,ST,,,,82,86,96,46,75,35,80,active,israeli
isr_134,Johnbosco Kalu,,Nigeria,Nigeria,Beitar Jerusalem,Ligat Ha'al,ST,,,,77,80,89,42,69,35,83,active,israeli
isr_135,Timothy Muzie,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,LW,,,,85,99,79,68,96,35,51,active,israeli
isr_136,Dor Hugi,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,RW,,,,77,87,68,59,93,35,43,active,israeli
isr_137,Omer Atzili,,Israel,Israel,Beitar Jerusalem,Ligat Ha'al,ST,,,,81,81,99,50,70,35,84,active,israeli
isr_138,Yoav Gerafi,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,GK,,,,79,39,35,50,45,35,56,active,israeli
isr_139,Benjamin Macini,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,GK,,,,73,44,35,45,41,35,51,active,israeli
isr_140,Matan Ambar,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,GK,,,,74,39,35,49,45,35,55,active,israeli
isr_141,Ori Levy,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,GK,,,,71,35,35,45,41,35,50,active,israeli
isr_142,Harel Attia,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,GK,,,,80,45,35,56,42,35,62,active,israeli
isr_143,Tamir Arbel,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CB,,,,72,56,35,40,43,88,77,active,israeli
isr_144,Dor Malul,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CB,,,,79,54,35,46,49,99,86,active,israeli
isr_145,Ivan Kričak,,Serbia,Serbia,Hapoel Haifa,Ligat Ha'al,CB,,,,72,48,35,41,44,89,78,active,israeli
isr_146,Oren Biton,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,LB,,,,68,66,35,43,48,64,53,active,israeli
isr_147,Dario Župarić,,Croatia,Croatia,Hapoel Haifa,Ligat Ha'al,RB,,,,71,67,35,44,49,65,54,active,israeli
isr_148,Naftali Balay,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CB,,,,71,49,35,42,45,81,79,active,israeli
isr_149,Liran Serdal,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CB,,,,77,57,35,41,44,92,89,active,israeli
isr_150,George Diba,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CB,,,,76,53,35,45,48,87,84,active,israeli
isr_151,Ahmed Mahajna,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,LB,,,,80,74,41,57,53,72,59,active,israeli
isr_152,Saná Gomes,,Guinea-Bissau,Guinea-Bissau,Hapoel Haifa,Ligat Ha'al,RB,,,,78,75,35,50,55,73,60,active,israeli
isr_153,Yonatan Farber,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CDM,,,,75,56,35,65,51,84,79,active,israeli
isr_154,Sa'ar Fadida,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CM,,,,76,63,48,74,61,52,58,active,israeli
isr_155,Roy Nawi,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CM,,,,78,64,49,76,63,53,59,active,israeli
isr_156,Ya'ad Gonen,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CAM,,,,80,66,68,86,87,35,44,active,israeli
isr_157,Ofek Biton,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,LM,,,,78,81,61,69,87,35,51,active,israeli
isr_158,Sandro Altunashvili,,Georgia,Georgia,Hapoel Haifa,Ligat Ha'al,RM,,,,80,89,59,67,86,35,58,active,israeli
isr_159,Liran Rotman,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CDM,,,,72,46,35,64,51,82,69,active,israeli
isr_160,Shay Balahsan,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CM,,,,82,65,58,86,63,53,59,active,israeli
isr_161,Yahali Va'aknin,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CM,,,,82,62,55,83,69,59,56,active,israeli
isr_162,Naor Sabag,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,CAM,,,,73,56,66,82,75,35,44,active,israeli
isr_163,Itay Buganim,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,ST,,,,77,79,88,41,68,35,82,active,israeli
isr_164,Rotem Hatuel,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,ST,,,,77,76,94,47,65,35,79,active,israeli
isr_165,Anis Porat Ayash,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,LW,,,,79,90,71,62,96,35,45,active,israeli
isr_166,Alon Turgeman,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,RW,,,,74,87,70,61,84,35,45,active,israeli
isr_167,Ahmed Hamam,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,ST,,,,78,79,98,49,68,35,82,active,israeli
isr_168,Roei Zikri,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,ST,,,,77,79,88,41,68,35,82,active,israeli
isr_169,Idan Dadia,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,LW,,,,80,95,76,66,92,35,50,active,israeli
isr_170,Andrija Radulović,,Montenegro,Montenegro,Hapoel Haifa,Ligat Ha'al,RW,,,,77,89,70,61,95,35,45,active,israeli
isr_171,Régis N'do,,Burkina Faso,Burkina Faso,Hapoel Haifa,Ligat Ha'al,ST,,,,83,84,99,52,73,35,87,active,israeli
isr_172,Sa'ar Elkayam,,Israel,Israel,Hapoel Haifa,Ligat Ha'al,ST,,,,85,88,99,46,77,35,91,active,israeli
isr_173,David Ben Lulu,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,GK,,,,77,42,35,53,39,35,59,active,israeli
isr_174,Mohammed Abu Nil,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,GK,,,,76,44,35,45,41,35,60,active,israeli
isr_175,Majid Suleiman,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,GK,,,,74,40,35,50,37,35,56,active,israeli
isr_176,Maroun Gantous,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,CB,,,,68,53,35,37,40,84,72,active,israeli
isr_177,Karlo Bručić,,Croatia,Croatia,Bnei Sakhnin,Ligat Ha'al,CB,,,,78,53,35,45,48,98,85,active,israeli
isr_178,Alon Azugi,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,CB,,,,71,48,35,41,44,89,78,active,israeli
isr_179,Hassan Hilu,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,LB,,,,65,60,35,47,43,58,48,active,israeli
isr_180,Omer Korsia,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,RB,,,,71,62,35,48,53,69,49,active,israeli
isr_181,Max Grechkin,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,CB,,,,64,46,35,40,35,75,73,active,israeli
isr_182,Mustapha Sheikh Yousef,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,CDM,,,,66,50,35,57,46,75,62,active,israeli
isr_183,Maicom David,,Brazil,Brazil,Bnei Sakhnin,Ligat Ha'al,CM,,,,77,58,51,78,65,55,52,active,israeli
isr_184,Mathew Anim Cudjoe,,Ghana,Ghana,Bnei Sakhnin,Ligat Ha'al,CM,,,,70,59,45,68,57,49,54,active,israeli
isr_185,Omer Abuhav,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,CAM,,,,67,54,55,70,71,35,43,active,israeli
isr_186,Mohammed Ganame,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,LM,,,,74,81,62,69,78,35,52,active,israeli
isr_187,Jubayer Bushnak,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,RM,,,,67,73,56,63,70,35,48,active,israeli
isr_188,Eden Shamir,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,CDM,,,,74,51,38,69,46,78,74,active,israeli
isr_189,Johan Nzi,,MAD,MAD,Bnei Sakhnin,Ligat Ha'al,CM,,,,75,62,47,73,60,51,57,active,israeli
isr_190,Durel Avounou,,CGO,CGO,Bnei Sakhnin,Ligat Ha'al,CM,,,,71,57,51,75,55,46,52,active,israeli
isr_191,Artur Miranyan,,Armenia,Armenia,Bnei Sakhnin,Ligat Ha'al,ST,,,,71,70,87,43,60,35,72,active,israeli
isr_192,Ibrahima Dramé,,Senegal,Senegal,Bnei Sakhnin,Ligat Ha'al,ST,,,,76,73,91,44,71,35,76,active,israeli
isr_193,Shaker Abu Husein,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,LW,,,,73,85,68,59,82,35,44,active,israeli
isr_194,Stav Nahmani,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,RW,,,,77,90,71,62,87,35,46,active,israeli
isr_195,Ahmed Salman,,Israel,Israel,Bnei Sakhnin,Ligat Ha'al,ST,,,,76,73,91,44,71,35,76,active,israeli
isr_196,James Adeniyi,,Nigeria,Nigeria,Bnei Sakhnin,Ligat Ha'al,ST,,,,81,82,99,51,71,35,85,active,israeli
isr_197,Nikola Đurković,,Serbia,Serbia,Hapoel Hadera,Ligat Ha'al,GK,,,,72,44,35,45,41,35,50,active,israeli
